Subject,Filename,OnsetFrame,ApexFrame,5label,OffsetFrame
1,EP02_01f,46,59,0,86
1,EP03_02,131,139,4,161
1,EP04_02,21,54,4,76
1,EP04_03,31,41,4,56
1,EP04_04,23,49,4,66
1,EP19_01,26,49,4,66
1,EP19_03f,81,96,4,161
1,EP19_05f,396,416,1,446
1,EP19_06f,36,71,1,161
2,EP01_11f,46,91,2,96
2,EP02_04f,31,79,2,141
2,EP03_02f,16,81,2,136
2,EP06_01f,56,121,2,155
2,EP06_02f,36,64,2,111
2,EP08_04,16,69,4,106
2,EP09_01,26,56,0,125
2,EP09_06f,11,49,4,151
2,EP09_10,26,36,4,66
2,EP11_01,16,69,3,106
2,EP13_04,21,51,3,76
2,EP14_01,81,114,3,126
2,EP15_04,26,66,4,96
3,EP01_2,51,69,3,91
3,EP07_03,16,46,4,76
3,EP07_04,21,81,1,106
3,EP08_1,11,44,4,91
3,EP09_03,61,76,1,121
3,EP18_06,26,81,1,126
3,EP19_08,101,121,1,141
4,EP12_02f,356,387,1,406
4,EP13_02f,51,81,4,111
4,EP13_06f,71,108,1,161
4,EP19_01f,191,209,4,226
5,EP02_07,36,66,3,101
5,EP03_01,41,81,0,101
5,EP03_06,33,66,3,83
5,EP03_07,41,64,4,83
5,EP04_05,16,44,3,66
5,EP04_06,6,49,3,91
5,EP05_03,51,71,4,141
5,EP05_09,49,94,4,136
5,EP06_10,85,116,4,136
5,EP07_01,49,66,4,106
5,EP08_05,6,39,4,71
5,EP09_05f,69,69,1,123
5,EP12_03f,11,36,3,61
5,EP12_06,46,76,4,121
5,EP13_04f,36,69,4,111
5,EP13_06,16,46,4,76
5,EP16_03f,39,81,4,138
5,EP16_04f,141,181,4,181
5,EP19_03,6,29,4,58
6,EP01_01,81,111,0,136
6,EP02_31,99,131,3,148
6,EP10_08,116,139,4,161
6,EP15_02,56,79,3,106
6,EP16_05,94,114,1,151
7,EP01_01,79,109,1,156
7,EP03_04,11,49,4,76
7,EP06_01,15,49,4,68
7,EP06_02_01,11,66,1,91
7,EP06_02_02,36,81,1,91
7,EP08_02,141,174,1,191
7,EP15_01,36,64,1,91
7,EP18_01,6,24,4,51
7,EP18_03,11,54,4,96
8,EP12_07f,26,74,4,118
8,EP12_08f,71,106,4,170
8,EP13_01f,49,86,2,126
9,EP02_01f,21,74,0,91
9,EP05_02,66,119,4,196
